name,designer,license,category,date_added
Nova Round,Wojciech Kalinowski,OFL,DISPLAY,2011-03-23
Nova Script,Wojciech Kalinowski,OFL,DISPLAY,2011-03-23
Nova Slim,Wojciech Kalinowski,OFL,DISPLAY,2011-03-23
Nova Square,Wojciech Kalinowski,OFL,DISPLAY,2011-04-14
NTR,Purushoth Kumar Guttula,OFL,SANS_SERIF,2014-12-10
Numans,Jovanny Lemonad,OFL,SANS_SERIF,2011-08-17
Nunito,Vernon Adams,OFL,SANS_SERIF,2012-08-12
Nunito Sans,Multiple Designers,OFL,SANS_SERIF,2016-10-06
Odibee Sans,James Barnard,OFL,DISPLAY,2019-11-08
Odor Mean Chey,Danh Hong,OFL,DISPLAY,2011-03-02
Offside,Eduardo Tunni,OFL,DISPLAY,2012-10-26
OFL Sorts Mill Goudy TT,Barry Schwartz,OFL,SERIF,2010-05-18
Oldenburg,Nicole Fally,OFL,DISPLAY,2011-12-19
Old Standard TT,Alexey Kryukov,OFL,SERIF,2010-05-18
Oleo Script,soytutype fonts,OFL,DISPLAY,2012-03-29
Oleo Script Swash Caps,soytutype fonts,OFL,DISPLAY,2012-11-12
Oranienbaum,Multiple Designers,OFL,SERIF,2012-08-20
Orbitron,Matt McInerney,OFL,SANS_SERIF,2010-12-15
Oregano,Astigmatic,OFL,DISPLAY,2012-08-13
Orienta,Eduardo Tunni,OFL,SANS_SERIF,2012-09-07
Original Surfer,Astigmatic,OFL,DISPLAY,2011-12-07
Oswald,"Vernon Adams, Kalapi Gajjar, Cyreal",OFL,SANS_SERIF,2012-02-29
Overlock,Dario Manuel Muhafara,OFL,DISPLAY,2011-12-19
Overlock SC,Dario Manuel Muhafara,OFL,DISPLAY,2011-12-19
Overpass,Delve Withrington,OFL,SANS_SERIF,2016-12-02
Overpass Mono,Delve Withrington,OFL,MONOSPACE,2016-12-02
Over the Rainbow,Kimberly Geswein,OFL,HANDWRITING,2011-04-27
Ovo,Nicole Fally,OFL,SERIF,2011-07-20
Oxanium,Severin Meyer,OFL,DISPLAY,2020-01-30
Oxygen,Vernon Adams,OFL,SANS_SERIF,2012-03-29
Oxygen Mono,Vernon Adams,OFL,MONOSPACE,2012-09-08
Pacifico,"Vernon Adams, Jacques Le Bailly, Botjo Nikoltchev, Ani Petrova",OFL,HANDWRITING,2011-03-09
Padauk,SIL International,OFL,SANS_SERIF,2016-11-08
Palanquin,Pria Ravichandran,OFL,SANS_SERIF,2015-01-28
Palanquin Dark,Pria Ravichandran,OFL,SANS_SERIF,2015-01-28
Pangolin,Kevin Burke,OFL,HANDWRITING,2017-02-12
Paprika,Eduardo Tunni,OFL,DISPLAY,2012-10-26
Parisienne,Astigmatic,OFL,HANDWRITING,2012-01-25
Passero One,Viktoriya Grabowska,OFL,DISPLAY,2011-08-31
Passion One,Fontstage,OFL,DISPLAY,2011-12-13
Pathway Gothic One,Eduardo Tunni,OFL,SANS_SERIF,2013-06-05
Patrick Hand,Patrick Wagesreiter,OFL,HANDWRITING,2011-07-06
Patrick Hand SC,Patrick Wagesreiter,OFL,HANDWRITING,2013-02-27
Pattaya,Multiple Designers,OFL,SANS_SERIF,2016-06-20
Patua One,LatinoType,OFL,DISPLAY,2011-12-19
Pavanam,Multiple Designers,OFL,SANS_SERIF,2016-06-20
Paytone One,Vernon Adams,OFL,SANS_SERIF,2011-05-04
Pecita,Phillipe Cochy,OFL,HANDWRITING,2012-05-09
Peddana,Appaji Ambarisha Darbha,OFL,SERIF,2014-12-10
Peralta,Astigmatic,OFL,DISPLAY,2012-07-11
Petit Formal Script,Impallari Type,OFL,HANDWRITING,2012-09-07
Petrona,Ringo Romei,OFL,SERIF,2011-11-02
Phetsarath,Danh Hong,OFL,SERIF,2012-05-18
Philosopher,Jovanny Lemonad,OFL,SANS_SERIF,2011-08-31
Piedra,Sudtipos,OFL,DISPLAY,2011-11-30
Pinyon Script,Nicole Fally,OFL,HANDWRITING,2011-10-12
Pirata One,Multiple Designers,OFL,DISPLAY,2012-10-31
Plaster,Sorkin Type,OFL,DISPLAY,2011-12-13
Play,Jonas Hecksher,OFL,SANS_SERIF,2011-05-04
Playball,TypeSETit,OFL,DISPLAY,2011-12-19
Playfair Display,Claus Eggers Sørensen,OFL,SERIF,2011-11-16
Playfair Display SC,Claus Eggers Sørensen,OFL,SERIF,2012-10-26
Podkova,Cyreal,OFL,SERIF,2011-05-18
Poetsen One,"Rodrigo Fuenzalida, Pablo Impallari",OFL,DISPLAY,2012-09-07
Poiret One,Denis Masharov,OFL,DISPLAY,2012-02-29
Poller One,Yvonne Schüttler,OFL,DISPLAY,2011-09-28
Poly,Nicolás Silva,OFL,SERIF,2011-11-02
Pompiere,Karolina Lach,OFL,DISPLAY,2011-07-20
Ponnala,Appaji Ambarisha Darbha,OFL,DISPLAY,2014-12-10
Pontano Sans,Vernon Adams,OFL,SANS_SERIF,2012-03-14
Poor Story,Yoon Design,OFL,DISPLAY,2018-02-23
Poppins,Indian Type Foundry,OFL,SANS_SERIF,2015-06-03
Porter Sans Block,Tyler Finck,OFL,DISPLAY,2013-12-03
Port Lligat Sans,Tipo,OFL,SANS_SERIF,2012-01-18
Port Lligat Slab,Tipo,OFL,SERIF,2012-01-18
Post No Bills Colombo,Mooniak,OFL,DISPLAY,2017-02-20
Post No Bills Jaffna,Mooniak,OFL,DISPLAY,2017-02-20
Pragati Narrow,Omnibus-Type,OFL,SANS_SERIF,2015-04-22
Prata,Cyreal,OFL,SERIF,2011-09-07
Preahvihear,Danh Hong,OFL,DISPLAY,2011-03-02
Press Start 2P,CodeMan38,OFL,DISPLAY,2012-04-04
Pridi,Cadson Demak,OFL,SERIF,2016-06-20
Princess Sofia,Tart Workshop,OFL,HANDWRITING,2012-02-15
Prociono,Barry Schwartz,OFL,SERIF,2011-08-31
Prompt,Cadson Demak,OFL,SANS_SERIF,2016-06-20
Prosto One,Multiple Designers,OFL,DISPLAY,2012-02-29
Proza Libre,Jasper de Waard,OFL,SANS_SERIF,2016-06-20
PT Mono,ParaType,OFL,MONOSPACE,2012-02-29
PT Sans,ParaType,OFL,SANS_SERIF,2010-09-21
PT Sans Caption,ParaType,OFL,SANS_SERIF,2010-09-21
PT Sans Narrow,ParaType,OFL,SANS_SERIF,2010-09-21
PT Serif,ParaType,OFL,SERIF,2011-02-09
PT Serif Caption,ParaType,OFL,SERIF,2011-02-09
Public Sans,Multiple Designers,OFL,SANS_SERIF,2019-06-07
Puritan,Ben Weiner,OFL,SANS_SERIF,2010-11-30
Purple Purse,Astigmatic,OFL,DISPLAY,2012-11-16
Pushster,Andyj,OFL,DISPLAY,2019-04-01
Quando,Joana Correia,OFL,SERIF,2012-07-10
Quantico,MADType,OFL,SANS_SERIF,2011-12-19
Quattrocento,Impallari Type,OFL,SERIF,2012-03-20
Quattrocento Sans,Impallari Type,OFL,SANS_SERIF,2012-02-15
Questrial,Joe Prince,OFL,SANS_SERIF,2011-08-10
Quicksand,Andrew Paglinawan,OFL,SANS_SERIF,2011-10-19
Quintessential,Astigmatic,OFL,HANDWRITING,2012-11-02
Qwigley,TypeSETit,OFL,HANDWRITING,2011-12-19
Racing Sans One,Impallari Type,OFL,DISPLAY,2012-08-13
Radley,Vernon Adams,OFL,SERIF,2011-12-13
Rajdhani,Indian Type Foundry,OFL,SANS_SERIF,2014-07-09
Rakkas,Zeynep Akay,OFL,DISPLAY,2016-06-20
Raleway,Multiple Designers,OFL,SANS_SERIF,2012-09-07
Raleway Dots,Multiple Designers,OFL,DISPLAY,2012-09-07
Ramabhadra,Purushoth Kumar Guttula,OFL,SANS_SERIF,2014-12-10
Ramaraja,Appaji Ambarisha Darbha,OFL,SERIF,2015-01-08
Rambla,Martin Sommaruga,OFL,SANS_SERIF,2012-10-31
Rammetto One,Vernon Adams,OFL,DISPLAY,2011-11-02
Ranchers,Impallari Type,OFL,DISPLAY,2012-09-07
Ranga,TipTopTyp,OFL,DISPLAY,2015-01-28
Rasa,Rosetta,OFL,SERIF,2016-06-20
Rationale,Cyreal,OFL,SANS_SERIF,2011-08-03
Ravi Prakash,Appaji Ambarisha Darbha,OFL,DISPLAY,2015-01-12
Recursive,"Arrow Type, Stephen Nixon",OFL,SANS_SERIF,2020-05-01
Redacted,Christian Naths,OFL,DISPLAY,2013-09-18
Redacted Script,Christian Naths,OFL,HANDWRITING,2013-09-18
Red Hat Display,MCKL,OFL,SANS_SERIF,2019-04-10
Red Hat Text,MCKL,OFL,SANS_SERIF,2019-04-10
Reem Kufi,"Khaled Hosny, Santiago Orozco",OFL,SANS_SERIF,2016-05-31
Reenie Beanie,James Grieshaber,OFL,HANDWRITING,2010-05-10
Revalia,Multiple Designers,OFL,DISPLAY,2012-03-14
Rhodium Libre,James Puckett,OFL,SERIF,2015-06-03
Ribeye,Astigmatic,OFL,DISPLAY,2011-11-23
