number,af,ak,am,ar,az,be,bg,bs,ca,ccp,chr,cs,cy,da,de-CH,de,ee,el,en,eo,es,et,fa,ff,fi,fil,fo,fr-BE,fr-CH,fr,ga,he,hi,hr,hu,hy,id,is,it,ja,ka,kk,kl,km,ko,ky,lb,lo,lrc,lt,lv,mk,ms,mt,my,ne,nl,nn,no,pl,pt,qu,ro,ru,se,sk,sl,sq,sr-Latn,sr,su,sv,sw,ta,th,tr,uk,vi,yue,zh
27,sewe-en-twintig,aduonu-asuon,ሁለት አስር ሰባት,سبعة وعشرون,iyirmi yeddi,дваццаць сем,двайсет и седем,dvadeset sedam,vint-i-set,𑄇𑄪𑄢𑄨 𑄥𑄖𑄴,ꮤꮅꮝꭺ ꭶꮅꮙꭹ,dvacet sedm,dau deg saith,syv­og­tyve,sieben­und­zwanzig,sieben­und­zwanzig,blaeve vɔ adre,είκοσι επτά,twenty-seven,dudek sep,veintisiete,kakskümmend seitse,بیست و هفت,noogas e jeeɗiɗi,kaksi­kymmentä­seitsemän,dalawáng pû’t pitó,tjúgo­sjey,vingt-sept,vingt-sept,vingt-sept,fiche a seacht,עשרים ושבע,सत्ताईस,dvadeset i sedam,huszon­hét,քսան­յոթ,dua puluh tujuh,tuttugu og sjó,venti­sette,二十七,ოცდა­შვიდი,жиырма жеті,marlunnik qulillit arfineq-marluk,ម្ភៃ​ប្រាំពីរ,이십칠,жыйырма жети,siwenanzwanzeg,ຊາວ​ເຈັດ,بیست و هفت,dvidešimt septyni,divdesmit septiņi,дваесет и седум,dua puluh tujuh,sebgħa u għoxrin,နှစ်ဆယ်ခုနှစ်,सत्ताइस,zeven­en­twintig,tjue­sju,tjue­sju,dwadzieścia siedem,vinte e sete,iskay chunka qanchis-ni-yuq,douăzeci şi şapte,двадцать семь,guokte­logi­čieža,dvadsať­sedem,dvaset sedem,njëzet e shtatë,dvadeset i sedam,двадесет и седам,dua puluh tujuh,tjugo­sju,ishirini na saba,இருபது ஏழு,ยี่​สิบ​เจ็ด,yirmi yedi,двадцять сім,hai mươi bảy,二十七,二十七
28,agt-en-twintig,aduonu-awɔtwe,ሁለት አስር ስምንት,ثمانية وعشرون,iyirmi səkkiz,дваццаць восем,двайсет и осем,dvadeset osam,vint-i-vuit,𑄇𑄪𑄢𑄨 𑄃𑄖𑄳𑄠𑄴𑄧,ꮤꮅꮝꭺ ꮷꮑꮃ,dvacet osm,dau deg wyth,otte­og­tyve,acht­und­zwanzig,acht­und­zwanzig,blaeve vɔ enyi,είκοσι οκτώ,twenty-eight,dudek ok,veintiocho,kakskümmend kaheksa,بیست و هشت,noogas e jeetati,kaksi­kymmentä­kahdeksan,dalawáng pû’t waló,tjúgo­átta,vingt-huit,vingt-huit,vingt-huit,fiche a hocht,עשרים ושמונה,अट्ठाईस,dvadeset i osam,huszon­nyolc,քսան­ութ,dua puluh delapan,tuttugu og átta,vent­otto,二十八,ოცდა­რვა,жиырма сегіз,marlunnik qulillit arfineq-pingasut,ម្ភៃ​ប្រាំបី,이십팔,жыйырма сегиз,aachtanzwanzeg,ຊາວ​ແປດ,بیست و هشت,dvidešimt aštuoni,divdesmit astoņi,дваесет и осум,dua puluh lapan,tmienja u għoxrin,နှစ်ဆယ်ရှစ်,अट्ठाइस,acht­en­twintig,tjue­åtte,tjue­åtte,dwadzieścia osiem,vinte e oito,iskay chunka pusaq-ni-yuq,douăzeci şi opt,двадцать восемь,guokte­logi­gávcci,dvadsať­osem,dvaset osem,njëzet e tetë,dvadeset i osam,двадесет и осам,dua puluh dalapan,tjugo­åtta,ishirini na nane,இருபது எட்டு,ยี่​สิบ​แปด,yirmi sekiz,двадцять вісім,hai mươi tám,二十八,二十八
29,nege-en-twintig,aduonu-akron,ሁለት አስር ዘጠኝ,تسعة وعشرون,iyirmi doqquz,дваццаць дзевяць,двайсет и девет,dvadeset devet,vint-i-nou,𑄇𑄪𑄢𑄨 𑄚𑄧,ꮤꮅꮝꭺ ꮠꮑꮃ,dvacet devět,dau deg naw,ni­og­tyve,neun­und­zwanzig,neun­und­zwanzig,blaeve vɔ asieke,είκοσι εννέα,twenty-nine,dudek naŭ,veintinueve,kakskümmend üheksa,بیست و نه,noogas e jeenawi,kaksi­kymmentä­yhdeksän,dalawáng pû’t siyám,tjúgo­níggju,vingt-neuf,vingt-neuf,vingt-neuf,fiche a naoi,עשרים ותשע,उनतीस,dvadeset i devet,huszon­kilenc,քսան­ինը,dua puluh sembilan,tuttugu og níu,venti­nove,二十九,ოცდა­ცხრა,жиырма тоғыз,marlunnik qulillit arfineq-sisamat,ម្ភៃ​ប្រាំបួន,이십구,жыйырма тогуз,nénganzwanzeg,ຊາວ​ເກົ້າ,بیست و نۏ,dvidešimt devyni,divdesmit deviņi,дваесет и девет,dua puluh sembilan,disgħa u għoxrin,နှစ်ဆယ်ကိုး,उनन्तिस,negen­en­twintig,tjue­ni,tjue­ni,dwadzieścia dziewięć,vinte e nove,iskay chunka isqun-ni-yuq,douăzeci şi nouă,двадцать девять,guokte­logi­ovcci,dvadsať­deväť,dvaset devet,njëzet e nëntë,dvadeset i devet,двадесет и девет,dua puluh salapan,tjugo­nio,ishirini na tisa,இருபது ஒன்பது,ยี่​สิบ​เก้า,yirmi dokuz,двадцять девʼять,hai mươi chín,二十九,二十九
30,dertig,aduasa,ሦስት አስር,ثلاثون,otuz,трыццаць,трийсет,trideset,trenta,𑄖𑄳𑄢𑄨𑄌𑄴,ꮶꭲꮝꭺꭿ,třicet,tri deg,tredive,dreissig,dreißig,blaetɔ̃,τριάντα,thirty,tridek,treinta,kolmkümmend,سی,cepanze,kolme­kymmentä,tatlóng pû,tríati,trente,trente,trente,tríocha,שלושים,तीस,trideset,harminc,երեսուն,tiga puluh,þrjátíu,trenta,三十,ოცდა­ათი,отыз,pingasunik qulillit,សាមសិប,삼십,отуз,drësseg,ສາມ​ສິບ,سی,trisdešimt,trīsdesmit,триесет,tiga puluh,tletin,သုံးဆယ်,तिस,dertig,tretti,tretti,trzydzieści,trinta,kinsa chunka,treizeci,тридцать,golbma­logi,tridsať,trideset,tridhjetë,trideset,тридесет,tilu puluh,trettio,thelathini,முப்பது,สาม​สิบ,otuz,тридцять,ba mươi,三十,三十
31,een-en-dertig,aduasa-biako,ሦስት አስር አንድ,واحد وثلاثون,otuz bir,трыццаць адзiн,трийсет и едно,trideset jedan,trenta-u,𑄖𑄳𑄢𑄨𑄌𑄴 𑄆𑄇𑄴,ꮶꭲꮝꭺ ꮠꮼ,třicet jeden,tri deg un,en­ogtredive,ein­und­dreissig,ein­und­dreißig,blaetɔ̃ vɔ ɖekɛ,τριάντα ένα,thirty-one,tridek unu,treinta y uno,kolmkümmend üks,سی و یک,cepanze tati e goʼo,kolme­kymmentä­yksi,tatlóng pû’t isá,tríati­ein,trente-et-un,trente-et-un,trente-et-un,tríocha a haon,שלושים ואחת,इकतीस,trideset i jedan,harminc­egy,երեսուն­մեկ,tiga puluh satu,þrjátíu og einn,trent­uno,三十一,ოცდა­თერთმეტი,отыз бір,pingasunik qulillit ataaseq,សាមសិប​មួយ,삼십일,отуз бир,eenandrësseg,ສາມ​ສິບ​ເອັດ,سی و یٱک,trisdešimt vienas,trīsdesmit viens,триесет и еден,tiga puluh satu,wieħed u tletin,သုံးဆယ်တစ်,एकतिस,een­en­dertig,tretti­éin,tretti­én,trzydzieści jeden,trinta e um,kinsa chunka huk-ni-yuq,treizeci şi unu,тридцать один,golbma­logi­okta,tridsať­jeden,trideset ena,tridhjetë e një,trideset i jedan,тридесет и један,tilu puluh hiji,trettio­ett,thelathini na moja,முப்பது ஒன்று,สาม​สิบ​เอ็ด,otuz bir,тридцять один,ba mươi mốt,三十一,三十一
32,twee-en-dertig,aduasa-abien,ሦስት አስር ሁለት,إثنان وثلاثون,otuz iki,трыццаць два,трийсет и две,trideset dva,trenta-dos,𑄖𑄳𑄢𑄨𑄌𑄴 𑄘𑄨,ꮶꭲꮝꭺ ꮤꮅ,třicet dva,tri deg dau,to­ogtredive,zwei­und­dreissig,zwei­und­dreißig,blaetɔ̃ vɔ eve,τριάντα δύο,thirty-two,tridek du,treinta y dos,kolmkümmend kaks,سی و دو,cepanze tati e ɗiɗi,kolme­kymmentä­kaksi,tatlóng pû’t dalawá,tríati­tveir,trente-deux,trente-deux,trente-deux,tríocha a dó,שלושים ושתיים,बत्तीस,trideset i dva,harminc­kettő,երեսուն­երկու,tiga puluh dua,þrjátíu og tveir,trenta­due,三十二,ოცდა­თორმეტი,отыз екі,pingasunik qulillit marluk,សាមសិប​ពីរ,삼십이,отуз эки,zweeandrësseg,ສາມ​ສິບ​ສອງ,سی و دۏ,trisdešimt du,trīsdesmit divi,триесет и два,tiga puluh dua,tnejn u tletin,သုံးဆယ်နှစ်,बत्तिस,twee­ën­dertig,tretti­to,tretti­to,trzydzieści dwa,trinta e dois,kinsa chunka iskay-ni-yuq,treizeci şi doi,тридцать два,golbma­logi­guokte,tridsať­dva,trideset dva,tridhjetë e dy,trideset i dva,тридесет и два,tilu puluh dua,trettio­två,thelathini na mbili,முப்பது இரண்டு,สาม​สิบ​สอง,otuz iki,тридцять два,ba mươi hai,三十二,三十二
33,drie-en-dertig,aduasa-abiasa,ሦስት አስር ሦስት,ثلاثة وثلاثون,otuz üç,трыццаць тры,трийсет и три,trideset tri,trenta-tres,𑄖𑄳𑄢𑄨𑄌𑄴 𑄖𑄨𑄚𑄴,ꮶꭲꮝꭺ ꮶꭲ,třicet tři,tri deg tri,tre­og­tredive,drei­und­dreissig,drei­und­dreißig,blaetɔ̃ vɔ etɔ̃,τριάντα τρία,thirty-three,tridek tri,treinta y tres,kolmkümmend kolm,سی و سه,cepanze tati e tati,kolme­kymmentä­kolme,tatlóng pû’t tatló,tríati­tríggir,trente-trois,trente-trois,trente-trois,tríocha a trí,שלושים ושלוש,तैंतीस,trideset i tri,harminc­három,երեսուն­երեք,tiga puluh tiga,þrjátíu og þrír,trenta­tré,三十三,ოცდა­ცამეტი,отыз үш,pingasunik qulillit pingasut,សាមសិប​បី,삼십삼,отуз үч,dräiandrësseg,ສາມ​ສິບ​ສາມ,سی و ساٛ,trisdešimt trys,trīsdesmit trīs,триесет и три,tiga puluh tiga,tlieta u tletin,သုံးဆယ်သုံး,तेत्तिस,drie­ën­dertig,tretti­tre,tretti­tre,trzydzieści trzy,trinta e três,kinsa chunka kinsa-yuq,treizeci şi trei,тридцать три,golbma­logi­golbma,tridsať­tri,trideset tri,tridhjetë e tre,trideset i tri,тридесет и три,tilu puluh tilu,trettio­tre,thelathini na tatu,முப்பது மூன்று,สาม​สิบ​สาม,otuz üç,тридцять три,ba mươi ba,三十三,三十三
34,vier-en-dertig,aduasa-anan,ሦስት አስር አራት,أربعة وثلاثون,otuz dörd,трыццаць чатыры,трийсет и четири,trideset četiri,trenta-quatre,𑄖𑄳𑄢𑄨𑄌𑄴 𑄌𑄳𑄆𑄬𑄢𑄴,ꮶꭲꮝꭺ ꮕꭹ,třicet čtyři,tri deg pedwar,fire­og­tredive,vierunddreissig,vierunddreißig,blaetɔ̃ vɔ ene,τριάντα τέσσερα,thirty-four,tridek kvar,treinta y cuatro,kolmkümmend neli,سی و چهار,cepanze tati e nawi,kolme­kymmentä­neljä,tatlóng pû’t ápat,tríati­fýre,trente-quatre,trente-quatre,trente-quatre,tríocha a ceathair,שלושים וארבע,चौंतीस,trideset i četiri,harminc­négy,երեսուն­չորս,tiga puluh empat,þrjátíu og fjórir,trenta­quattro,三十四,ოცდა­თოთხმეტი,отыз төрт,pingasunik qulillit sisamat,សាមសិប​បួន,삼십사,отуз төрт,véierandrësseg,ສາມ​ສິບ​ສີ່,سی و چار,trisdešimt keturi,trīsdesmit četri,триесет и четири,tiga puluh empat,erbgħa u tletin,သုံးဆယ်လေး,चौँतिस,vier­en­dertig,tretti­fire,tretti­fire,trzydzieści cztery,trinta e quatro,kinsa chunka tawa-yuq,treizeci şi patru,тридцать четыре,golbma­logi­njeallje,tridsať­štyri,trideset štiri,tridhjetë e katër,trideset i četiri,тридесет и четири,tilu puluh opat,trettio­fyra,thelathini na nne,முப்பது நான்கு,สาม​สิบ​สี่,otuz dört,тридцять чотири,ba mươi tư,三十四,三十四
35,vyf-en-dertig,aduasa-anum,ሦስት አስር አምስት,خمسة وثلاثون,otuz beş,трыццаць пяць,трийсет и пет,trideset pet,trenta-cinc,𑄖𑄳𑄢𑄨𑄌𑄴 𑄛𑄌𑄴,ꮶꭲꮝꭺ ꭿꮝꭹ,třicet pět,tri deg pump,fem­ogtredive,fünfund­dreissig,fünfund­dreißig,blaetɔ̃ vɔ atɔ̃,τριάντα πέντε,thirty-five,tridek kvin,treinta y cinco,kolmkümmend viis,سی و پنج,cepanze tati e jowi,kolme­kymmentä­viisi,tatlóng pû’t limá,tríati­fimm,trente-cinq,trente-cinq,trente-cinq,tríocha a cúig,שלושים וחמש,पैंतीस,trideset i pet,harminc­öt,երեսուն­հինգ,tiga puluh lima,þrjátíu og fimm,trenta­cinque,三十五,ოცდა­თხუთმეტი,отыз бес,pingasunik qulillit tallimat,សាមសិប​ប្រាំ,삼십오,отуз беш,fënnefandrësseg,ສາມ​ສິບ​ຫ້າ,سی و پنج,trisdešimt penki,trīsdesmit pieci,триесет и пет,tiga puluh lima,ħamsa u tletin,သုံးဆယ်ငါး,पैँतिस,vijf­en­dertig,tretti­fem,tretti­fem,trzydzieści pięć,trinta e cinco,kinsa chunka phisqa-yuq,treizeci şi cinci,тридцать пять,golbma­logi­vihtta,tridsať­päť,trideset pet,tridhjetë e pesë,trideset i pet,тридесет и пет,tilu puluh lima,trettio­fem,thelathini na tano,முப்பது ஐந்து,สาม​สิบ​ห้า,otuz beş,тридцять пʼять,ba mươi lăm,三十五,三十五
36,ses-en-dertig,aduasa-asia,ሦስት አስር ስድስት,ستة وثلاثون,otuz altı,трыццаць шэсць,трийсет и шест,trideset šest,trenta-sis,𑄖𑄳𑄢𑄨𑄌𑄴 𑄍𑄧,ꮶꭲꮝꭺ ꮡꮣꮅ,třicet šest,tri deg chwech,seks­ogtredive,sechs­und­dreissig,sechs­und­dreißig,blaetɔ̃ vɔ ade,τριάντα έξι,thirty-six,tridek ses,treinta y seis,kolmkümmend kuus,سی و شش,cepanze tati e jeegoʼo,kolme­kymmentä­kuusi,tatlóng pû’t anim,tríati­seks,trente-six,trente-six,trente-six,tríocha a sé,שלושים ושש,छत्तीस,trideset i šest,harminc­hat,երեսուն­վեց,tiga puluh enam,þrjátíu og sex,trenta­sei,三十六,ოცდა­თექვსმეტი,отыз алты,pingasunik qulillit arfinillit,សាមសិប​ប្រាំមួយ,삼십육,отуз алты,sechsandrësseg,ສາມ​ສິບ​ຫົກ,سی و شٱش,trisdešimt šeši,trīsdesmit seši,триесет и шест,tiga puluh enam,sitta u tletin,သုံးဆယ်ခြောက်,छत्तिस,zes­en­dertig,tretti­seks,tretti­seks,trzydzieści sześć,trinta e seis,kinsa chunka suqta-yuq,treizeci şi şase,тридцать шесть,golbma­logi­guhtta,tridsať­šesť,trideset šest,tridhjetë e gjashtë,trideset i šest,тридесет и шест,tilu puluh genep,trettio­sex,thelathini na sita,முப்பது ஆறு,สาม​สิบ​หก,otuz altı,тридцять шість,ba mươi sáu,三十六,三十六
37,sewe-en-dertig,aduasa-asuon,ሦስት አስር ሰባት,سبعة وثلاثون,otuz yeddi,трыццаць сем,трийсет и седем,trideset sedam,trenta-set,𑄖𑄳𑄢𑄨𑄌𑄴 𑄥𑄖𑄴,ꮶꭲꮝꭺ ꭶꮅꮙꭹ,třicet sedm,tri deg saith,syv­og­tredive,sieben­und­dreissig,sieben­und­dreißig,blaetɔ̃ vɔ adre,τριάντα επτά,thirty-seven,tridek sep,treinta y siete,kolmkümmend seitse,سی و هفت,cepanze tati e jeeɗiɗi,kolme­kymmentä­seitsemän,tatlóng pû’t pitó,tríati­sjey,trente-sept,trente-sept,trente-sept,tríocha a seacht,שלושים ושבע,सैंतीस,trideset i sedam,harminc­hét,երեսուն­յոթ,tiga puluh tujuh,þrjátíu og sjó,trenta­sette,三十七,ოცდა­ჩვიდმეტი,отыз жеті,pingasunik qulillit arfineq-marluk,សាមសិប​ប្រាំពីរ,삼십칠,отуз жети,siwenandrësseg,ສາມ​ສິບ​ເຈັດ,سی و هفت,trisdešimt septyni,trīsdesmit septiņi,триесет и седум,tiga puluh tujuh,sebgħa u tletin,သုံးဆယ်ခုနှစ်,सैँतिस,zeven­en­dertig,tretti­sju,tretti­sju,trzydzieści siedem,trinta e sete,kinsa chunka qanchis-ni-yuq,treizeci şi şapte,тридцать семь,golbma­logi­čieža,tridsať­sedem,trideset sedem,tridhjetë e shtatë,trideset i sedam,тридесет и седам,tilu puluh tujuh,trettiosju,thelathini na saba,முப்பது ஏழு,สาม​สิบ​เจ็ด,otuz yedi,тридцять сім,ba mươi bảy,三十七,三十七
38,agt-en-dertig,aduasa-awɔtwe,ሦስት አስር ስምንት,ثمانية وثلاثون,otuz səkkiz,трыццаць восем,трийсет и осем,trideset osam,trenta-vuit,𑄖𑄳𑄢𑄨𑄌𑄴 𑄃𑄖𑄳𑄠𑄴𑄧,ꮶꭲꮝꭺ ꮷꮑꮃ,třicet osm,tri deg wyth,otte­og­tredive,acht­und­dreissig,acht­und­dreißig,blaetɔ̃ vɔ enyi,τριάντα οκτώ,thirty-eight,tridek ok,treinta y ocho,kolmkümmend kaheksa,سی و هشت,cepanze tati e jeetati,kolme­kymmentä­kahdeksan,tatlóng pû’t waló,tríati­átta,trente-huit,trente-huit,trente-huit,tríocha a hocht,שלושים ושמונה,अड़तीस,trideset i osam,harminc­nyolc,երեսուն­ութ,tiga puluh delapan,þrjátíu og átta,trent­otto,三十八,ოცდა­თრვამეტი,отыз сегіз,pingasunik qulillit arfineq-pingasut,សាមសិប​ប្រាំបី,삼십팔,отуз сегиз,aachtandrësseg,ສາມ​ສິບ​ແປດ,سی و هشت,trisdešimt aštuoni,trīsdesmit astoņi,триесет и осум,tiga puluh lapan,tmienja u tletin,သုံးဆယ်ရှစ်,अठतिस,acht­en­dertig,tretti­åtte,tretti­åtte,trzydzieści osiem,trinta e oito,kinsa chunka pusaq-ni-yuq,treizeci şi opt,тридцать восемь,golbma­logi­gávcci,tridsať­osem,trideset osem,tridhjetë e tetë,trideset i osam,тридесет и осам,tilu puluh dalapan,trettio­åtta,thelathini na nane,முப்பது எட்டு,สาม​สิบ​แปด,otuz sekiz,тридцять вісім,ba mươi tám,三十八,三十八
39,nege-en-dertig,aduasa-akron,ሦስት አስር ዘጠኝ,تسعة وثلاثون,otuz doqquz,трыццаць дзевяць,трийсет и девет,trideset devet,trenta-nou,𑄖𑄳𑄢𑄨𑄌𑄴 𑄚𑄧,ꮶꭲꮝꭺ ꮠꮑꮃ,třicet devět,tri deg naw,ni­ogtredive,neun­und­dreissig,neun­und­dreißig,blaetɔ̃ vɔ asieke,τριάντα εννέα,thirty-nine,tridek naŭ,treinta y nueve,kolmkümmend üheksa,سی و نه,cepanze tati e jeenawi,kolme­kymmentä­yhdeksän,tatlóng pû’t siyám,tríati­níggju,trente-neuf,trente-neuf,trente-neuf,tríocha a naoi,שלושים ותשע,उनतालीस,trideset i devet,harminc­kilenc,երեսուն­ինը,tiga puluh sembilan,þrjátíu og níu,trenta­nove,三十九,ოცდა­ცხრამეტი,отыз тоғыз,pingasunik qulillit arfineq-sisamat,សាមសិប​ប្រាំបួន,삼십구,отуз тогуз,néngandrësseg,ສາມ​ສິບ​ເກົ້າ,سی و نۏ,trisdešimt devyni,trīsdesmit deviņi,триесет и девет,tiga puluh sembilan,disgħa u tletin,သုံးဆယ်ကိုး,उनन्चालिस,negen­en­dertig,tretti­ni,tretti­ni,trzydzieści dziewięć,trinta e nove,kinsa chunka isqun-ni-yuq,treizeci şi nouă,тридцать девять,golbma­logi­ovcci,tridsať­deväť,trideset devet,tridhjetë e nëntë,trideset i devet,тридесет и девет,tilu puluh salapan,trettio­nio,thelathini na tisa,முப்பது ஒன்பது,สาม​สิบ​เก้า,otuz dokuz,тридцять девʼять,ba mươi chín,三十九,三十九
40,veertig,aduanan,አራት አስር,أربعون,qırx,сорак,четиресет,četrdeset,quaranta,𑄌𑄣𑄨𑄨𑄌𑄴,ꮕꭹꮝꭺꭿ,čtyřicet,pedwar deg,fyrre,vierzig,vierzig,blaene,σαράντα,forty,kvardek,cuarenta,nelikümmend,چهل,cepanze nawi,neljä­kymmentä,ápat na pû,fýrati,quarante,quarante,quarante,daichead,ארבעים,चालीस,četrdeset,negyven,քառասուն,empat puluh,fjörutíu,quaranta,四十,ორმოცი,қырық,sisamanik qulillit,សែសិប,사십,кырк,véierzeg,ສີ່​ສິບ,چاٛهل,keturiasdešimt,četrdesmit,четириесет,empat puluh,erbgħin,လေးဆယ်,चालिस,veertig,førti,førti,czterdzieści,quarenta,tawa chunka,patruzeci,сорок,njeallje­logi,štyridsať,štirideset,dyzet,četrdeset,четрдесет,opat puluh,fyrtio,arobaini,நாற்பது,สี่​สิบ,kırk,сорок,bốn mươi,四十,四十
41,een-en-veertig,aduanan-biako,አራት አስር አንድ,واحد وأربعون,qırx bir,сорак адзiн,четиресет и едно,četrdeset jedan,quaranta-u,𑄌𑄣𑄨𑄨𑄌𑄴 𑄆𑄇𑄴,ꮕꭹꮝꭺ ꮠꮼ,čtyřicet jeden,pedwar deg un,en­ogfyrre,ein­und­vierzig,ein­und­vierzig,blaene vɔ ɖekɛ,σαράντα ένα,forty-one,kvardek unu,cuarenta y uno,nelikümmend üks,چهل و یک,cepanze nawi e goʼo,neljä­kymmentä­yksi,ápat na pû’t isá,fýrati­ein,quarante-et-un,quarante-et-un,quarante-et-un,daichead a haon,ארבעים ואחת,इकतालीस,četrdeset i jedan,negyven­egy,քառասուն­մեկ,empat puluh satu,fjörutíu og einn,quarant­uno,四十一,ორმოცდა­ერთი,қырық бір,sisamanik qulillit ataaseq,សែសិប​មួយ,사십일,кырк бир,eenanvéierzeg,ສີ່​ສິບ​ເອັດ,چاٛهل و یٱک,keturiasdešimt vienas,četrdesmit viens,четириесет и еден,empat puluh satu,wieħed u erbgħin,လေးဆယ်တစ်,एकचालिस,een­en­veertig,førti­éin,førti­én,czterdzieści jeden,quarenta e um,tawa chunka huk-ni-yuq,patruzeci şi unu,сорок один,njeallje­logi­okta,štyridsať­jeden,štirideset ena,dyzet e një,četrdeset i jedan,четрдесет и један,opat puluh hiji,fyrtio­ett,arobaini na moja,நாற்பது ஒன்று,สี่​สิบ​เอ็ด,kırk bir,сорок один,bốn mươi mốt,四十一,四十一
42,twee-en-veertig,aduanan-abien,አራት አስር ሁለት,إثنان وأربعون,qırx iki,сорак два,четиресет и две,četrdeset dva,quaranta-dos,𑄌𑄣𑄨𑄨𑄌𑄴 𑄘𑄨,ꮕꭹꮝꭺ ꮤꮅ,čtyřicet dva,pedwar deg dau,to­ogfyrre,zwei­und­vierzig,zwei­und­vierzig,blaene vɔ eve,σαράντα δύο,forty-two,kvardek du,cuarenta y dos,nelikümmend kaks,چهل و دو,cepanze nawi e ɗiɗi,neljä­kymmentä­kaksi,ápat na pû’t dalawá,fýrati­tveir,quarante-deux,quarante-deux,quarante-deux,daichead a dó,ארבעים ושתיים,बयालीस,četrdeset i dva,negyven­kettő,քառասուն­երկու,empat puluh dua,fjörutíu og tveir,quaranta­due,四十二,ორმოცდა­ორი,қырық екі,sisamanik qulillit marluk,សែសិប​ពីរ,사십이,кырк эки,zweeanvéierzeg,ສີ່​ສິບ​ສອງ,چاٛهل و دۏ,keturiasdešimt du,četrdesmit divi,четириесет и два,empat puluh dua,tnejn u erbgħin,လေးဆယ်နှစ်,बयालिस,twee­ën­veertig,førti­­to,førti­­to,czterdzieści dwa,quarenta e dois,tawa chunka iskay-ni-yuq,patruzeci şi doi,сорок два,njeallje­logi­guokte,štyridsať­dva,štirideset dva,dyzet e dy,četrdeset i dva,четрдесет и два,opat puluh dua,fyrtio­två,arobaini na mbili,நாற்பது இரண்டு,สี่​สิบ​สอง,kırk iki,сорок два,bốn mươi hai,四十二,四十二
43,drie-en-veertig,aduanan-abiasa,አራት አስር ሦስት,ثلاثة وأربعون,qırx üç,сорак тры,четиресет и три,četrdeset tri,quaranta-tres,𑄌𑄣𑄨𑄨𑄌𑄴 𑄖𑄨𑄚𑄴,ꮕꭹꮝꭺ ꮶꭲ,čtyřicet tři,pedwar deg tri,tre­og­fyrre,drei­und­vierzig,drei­und­vierzig,blaene vɔ etɔ̃,σαράντα τρία,forty-three,kvardek tri,cuarenta y tres,nelikümmend kolm,چهل و سه,cepanze nawi e tati,neljä­kymmentä­kolme,ápat na pû’t tatló,fýrati­tríggir,quarante-trois,quarante-trois,quarante-trois,daichead a trí,ארבעים ושלוש,तैंतालीस,četrdeset i tri,negyven­három,քառասուն­երեք,empat puluh tiga,fjörutíu og þrír,quaranta­tré,四十三,ორმოცდა­სამი,қырық үш,sisamanik qulillit pingasut,សែសិប​បី,사십삼,кырк үч,dräianvéierzeg,ສີ່​ສິບ​ສາມ,چاٛهل و ساٛ,keturiasdešimt trys,četrdesmit trīs,четириесет и три,empat puluh tiga,tlieta u erbgħin,လေးဆယ်သုံး,त्रिचालिस,drie­ën­veertig,førti­­tre,førti­­tre,czterdzieści trzy,quarenta e três,tawa chunka kinsa-yuq,patruzeci şi trei,сорок три,njeallje­logi­golbma,štyridsať­tri,štirideset tri,dyzet e tre,četrdeset i tri,четрдесет и три,opat puluh tilu,fyrtiotre,arobaini na tatu,நாற்பது மூன்று,สี่​สิบ​สาม,kırk üç,сорок три,bốn mươi ba,四十三,四十三
44,vier-en-veertig,aduanan-anan,አራት አስር አራት,أربعة وأربعون,qırx dörd,сорак чатыры,четиресет и четири,četrdeset četiri,quaranta-quatre,𑄌𑄣𑄨𑄨𑄌𑄴 𑄌𑄳𑄆𑄬𑄢𑄴,ꮕꭹꮝꭺ ꮕꭹ,čtyřicet čtyři,pedwar deg pedwar,fire­ogfyrre,vierundvierzig,vierundvierzig,blaene vɔ ene,σαράντα τέσσερα,forty-four,kvardek kvar,cuarenta y cuatro,nelikümmend neli,چهل و چهار,cepanze nawi e nawi,neljä­kymmentä­neljä,ápat na pû’t ápat,fýrati­fýre,quarante-quatre,quarante-quatre,quarante-quatre,daichead a ceathair,ארבעים וארבע,चौवालीस,četrdeset i četiri,negyven­négy,քառասուն­չորս,empat puluh empat,fjörutíu og fjórir,quaranta­quattro,四十四,ორმოცდა­ოთხი,қырық төрт,sisamanik qulillit sisamat,សែសិប​បួន,사십사,кырк төрт,véieranvéierzeg,ສີ່​ສິບ​ສີ່,چاٛهل و چار,keturiasdešimt keturi,četrdesmit četri,четириесет и четири,empat puluh empat,erbgħa u erbgħin,လေးဆယ်လေး,चवालिस,vier­en­veertig,førti­­fire,førti­­fire,czterdzieści cztery,quarenta e quatro,tawa chunka tawa-yuq,patruzeci şi patru,сорок четыре,njeallje­logi­njeallje,štyridsať­štyri,štirideset štiri,dyzet e katër,četrdeset i četiri,четрдесет и четири,opat puluh opat,fyrtio­fyra,arobaini na nne,நாற்பது நான்கு,สี่​สิบ​สี่,kırk dört,сорок чотири,bốn mươi tư,四十四,四十四
