year,title,original_title,director,languages,countries_of_origin,run_time,imdb_url
1952,Mexican Bus Ride,Subida al cielo,Luis Buñuel,es,MX,1h 25m,https://www.imdb.com/title/tt0044084/
1952,Furrows,Surcos,José Antonio Nieves Conde,es,ES,1h 44m,https://www.imdb.com/title/tt0044092/
1952,The Medium,,Gian Carlo Menotti,en,"IT,US",1h 24m,https://www.imdb.com/title/tt0043794/
1952,Othello,The Tragedy of Othello: The Moor of Venice,Orson Welles,en,"IT,MA,US",1h 30m,https://www.imdb.com/title/tt0045251/
1952,Tico-Tico no Fubá,,Adolfo Celi,pt,BR,1h 49m,https://www.imdb.com/title/tt0181855/
1952,Three Women,Trois femmes,André Michel,fr,FR,1h 44m,https://www.imdb.com/title/tt0143956/
1952,Umberto D.,,Vittorio De Sica,it,IT,1h 29m,https://www.imdb.com/title/tt0045274/
1952,Under the Thousand Lanterns,Unter den tausend Laternen,Erich Engel,de,"DE,FR",1h 34m,https://www.imdb.com/title/tt0136549/
1952,Viva Zapata!,,Elia Kazan,"en,es","US,MX",1h 53m,https://www.imdb.com/title/tt0045296/
1953,1. April 2000,,Wolfgang Liebeneiner,de,AT,1h 45m,https://www.imdb.com/title/tt0044312/
1953,Awaara,,Raj Kapoor,hi,IN,3h 13m,https://www.imdb.com/title/tt0043306/
1953,Barabbas,,Alf Sjöberg,sv,SE,2h 3m,https://www.imdb.com/title/tt0045541/
1953,Welcome Mr. Marshall!,Bienvenido Mister Marshall,Luis García Berlanga,"es,en",ES,1h 18m,https://www.imdb.com/title/tt0045554/
1953,Bongolo,,André Cauvin,fr,BE,1h 25m,https://www.imdb.com/title/tt0194714/
1953,Call Me Madam,,Walter Lang,en,US,1h 54m,https://www.imdb.com/title/tt0045592/
1953,"Come Back, Little Sheba",,Daniel Mann,en,US,1h 39m,https://www.imdb.com/title/tt0044509/
